Unnamed: 0,tweets,tweets_tokenize,tweet_strings,lemm_tweets,neg,neu,pos,compound,sentiment,topic
129,with celebrity aly after cupping session cupping qatarworldcup,"['celebrity', 'aly', 'cupping', 'session', 'cupping', 'qatarworldcup']",celebrity aly cupping session cupping qatarworldcup,celebrity aly cupping session cupping qatarworldcup,0.0,1.0,0.0,0.0,neutral,6
130,the world cup was an opportunity for to make a difference and highlight its as an country in the middle east in making a difference and in all since it was assigned to organize the world cup in  qatarworldcup,"['world', 'cup', 'opportunity', 'make', 'difference', 'highlight', 'country', 'middle', 'east', 'making', 'difference', 'since', 'assigned', 'organize', 'world', 'cup', 'qatarworldcup']",world cup opportunity make difference highlight country middle east making difference since assigned organize world cup qatarworldcup,world cup opportunity make difference highlight country middle east making difference since assigned organize world cup qatarworldcup,0.0,0.743,0.257,0.6369,positive,1
131,  hace  qatarworldcup,"['hace', 'qatarworldcup']",hace qatarworldcup,hace qatarworldcup,0.0,1.0,0.0,0.0,neutral,4
132,is such a material dreamers worldcupqatar qatarworldcup,"['material', 'dreamers', 'worldcupqatar', 'qatarworldcup']",material dreamers worldcupqatar qatarworldcup,material dreamer worldcupqatar qatarworldcup,0.0,1.0,0.0,0.0,neutral,0
133,i m down to the last  can anyone help me with these please ksa fra por gha qatarworldcup,"['last', 'anyone', 'help', 'please', 'ksa', 'fra', 'por', 'gha', 'qatarworldcup']",last anyone help please ksa fra por gha qatarworldcup,last anyone help please ksa fra por gha qatarworldcup,0.0,0.583,0.417,0.6124,positive,3
134,to make qatarworldcup possible and this man took his gold from television,"['make', 'qatarworldcup', 'possible', 'man', 'took', 'gold', 'television']",make qatarworldcup possible man took gold television,make qatarworldcup possible man took gold television,0.0,1.0,0.0,0.0,neutral,1
135,out   qatarworldcup,['qatarworldcup'],qatarworldcup,qatarworldcup,0.0,1.0,0.0,0.0,neutral,4
136,is this mere coincidence or bola to same symbol was shown at qatarworldcup are there we need to know about these don t just stand on mandate you know nothing about shine your,"['mere', 'coincidence', 'bola', 'symbol', 'shown', 'qatarworldcup', 'need', 'know', 'stand', 'mandate', 'know', 'nothing', 'shine']",mere coincidence bola symbol shown qatarworldcup need know stand mandate know nothing shine,mere coincidence bola symbol shown qatarworldcup need know stand mandate know nothing shine,0.0,1.0,0.0,0.0,neutral,4
137,may the anguish in which you have will be a close relief behind it cameron_herrin_is_innocent justicecameronherrin qatarworldcup newyear dating_in_riaydh,"['may', 'anguish', 'close', 'relief', 'behind', 'cameron_herrin_is_innocent', 'justicecameronherrin', 'qatarworldcup', 'newyear', 'dating_in_riaydh']",may anguish close relief behind cameron_herrin_is_innocent justicecameronherrin qatarworldcup newyear dating_in_riaydh,may anguish close relief behind cameron_herrin_is_innocent justicecameronherrin qatarworldcup newyear dating_in_riaydh,0.26,0.533,0.207,-0.2023,negative,1
138,some from world cup  qatarworldcup,"['world', 'cup', 'qatarworldcup']",world cup qatarworldcup,world cup qatarworldcup,0.0,1.0,0.0,0.0,neutral,6
139,happy no more,['happy'],happy,happy,0.0,0.0,1.0,0.5719,positive,5
140, ago already time really qatarworldcup was a hit,"['ago', 'already', 'time', 'really', 'qatarworldcup', 'hit']",ago already time really qatarworldcup hit,ago already time really qatarworldcup hit,0.0,1.0,0.0,0.0,neutral,0
141,he s retired as a referee after doing a brilliant job at the qatarworldcup last year he s now been as safa_net national referee s committee massive role in a world of numerous and an absence of in sa tonight on mswon,"['retired', 'referee', 'brilliant', 'job', 'qatarworldcup', 'last', 'year', 'safa_net', 'national', 'referee', 'committee', 'massive', 'role', 'world', 'numerous', 'absence', 'sa', 'tonight', 'mswon']",retired referee brilliant job qatarworldcup last year safa_net national referee committee massive role world numerous absence tonight mswon,retired referee brilliant job qatarworldcup last year safa_net national referee committee massive role world numerous absence tonight mswon,0.0,0.817,0.183,0.5859,positive,1
142,calm down xa worldcup qatarworldcup finale,"['calm', 'xa', 'worldcup', 'qatarworldcup', 'finale']",calm worldcup qatarworldcup finale,calm worldcup qatarworldcup finale,0.0,0.566,0.434,0.3182,positive,4
143,another best he was magnificent at,"['another', 'best', 'magnificent']",another best magnificent,another best magnificent,0.0,0.11,0.89,0.8442,positive,0
144,global king speaking gad worldcup qatarworldcup bhimconcert,"['global', 'king', 'speaking', 'gad', 'worldcup', 'qatarworldcup', 'bhimconcert']",global king speaking gad worldcup qatarworldcup bhimconcert,global king speaking gad worldcup qatarworldcup bhimconcert,0.0,1.0,0.0,0.0,neutral,1
145,night everyone,"['night', 'everyone']",night everyone,night everyone,0.0,1.0,0.0,0.0,neutral,3
146,is that the fan from qatarworldcup,"['fan', 'qatarworldcup']",fan qatarworldcup,fan qatarworldcup,0.0,0.303,0.697,0.3182,positive,3
147,welcome and nicocantor to morocco you are our two non that us during qatarworldcup your were among a lot of us enjoy your stay we would love to see and from your trip,"['welcome', 'nicocantor', 'morocco', 'two', 'non', 'us', 'qatarworldcup', 'among', 'lot', 'us', 'enjoy', 'stay', 'would', 'love', 'see', 'trip']",welcome nicocantor morocco two non qatarworldcup among lot enjoy stay would love see trip,welcome nicocantor morocco two non qatarworldcup among lot enjoy stay would love see trip,0.0,0.514,0.486,0.886,positive,3
148,yet they qatarworldcup t serve kosher and provide to pray are they demand and only take from,"['yet', 'qatarworldcup', 'serve', 'kosher', 'provide', 'pray', 'demand', 'take']",yet qatarworldcup serve kosher provide pray demand take,yet qatarworldcup serve kosher provide pray demand take,0.153,0.612,0.235,0.2023,positive,3
149,      qatarworldcup,['qatarworldcup'],qatarworldcup,qatarworldcup,0.0,1.0,0.0,0.0,neutral,4
150,did you watch the magical world cup  who were you supporting qatarworldcup,"['watch', 'magical', 'world', 'cup', 'supporting', 'qatarworldcup']",watch magical world cup supporting qatarworldcup,watch magical world cup supporting qatarworldcup,0.0,0.633,0.367,0.4404,positive,6
151,with celebrity aly after cupping session cupping qatarworldcup,"['celebrity', 'aly', 'cupping', 'session', 'cupping', 'qatarworldcup']",celebrity aly cupping session cupping qatarworldcup,celebrity aly cupping session cupping qatarworldcup,0.0,1.0,0.0,0.0,neutral,6
152,the world cup was an opportunity for to make a difference and highlight its as an country in the middle east in making a difference and in all since it was assigned to organize the world cup in  qatarworldcup,"['world', 'cup', 'opportunity', 'make', 'difference', 'highlight', 'country', 'middle', 'east', 'making', 'difference', 'since', 'assigned', 'organize', 'world', 'cup', 'qatarworldcup']",world cup opportunity make difference highlight country middle east making difference since assigned organize world cup qatarworldcup,world cup opportunity make difference highlight country middle east making difference since assigned organize world cup qatarworldcup,0.0,0.743,0.257,0.6369,positive,1
153,  hace  qatarworldcup,"['hace', 'qatarworldcup']",hace qatarworldcup,hace qatarworldcup,0.0,1.0,0.0,0.0,neutral,4
154,i got me some boots qatarworldcup,"['got', 'boots', 'qatarworldcup']",got boots qatarworldcup,got boot qatarworldcup,0.0,1.0,0.0,0.0,neutral,5
155,i commend decision to impose a nd fine on,"['commend', 'decision', 'impose', 'nd', 'fine']",commend decision impose fine,commend decision impose fine,0.278,0.127,0.595,0.3612,positive,2
156,play football cr worldcup qatarworldcup revive ai,"['play', 'football', 'cr', 'worldcup', 'qatarworldcup', 'revive', 'ai']",play football worldcup qatarworldcup revive,play football worldcup qatarworldcup revive,0.0,0.385,0.615,0.5859,positive,4
157,is such a material dreamers worldcupqatar qatarworldcup,"['material', 'dreamers', 'worldcupqatar', 'qatarworldcup']",material dreamers worldcupqatar qatarworldcup,material dreamer worldcupqatar qatarworldcup,0.0,1.0,0.0,0.0,neutral,0
158,to make qatarworldcup possible and this man took his gold from television,"['make', 'qatarworldcup', 'possible', 'man', 'took', 'gold', 'television']",make qatarworldcup possible man took gold television,make qatarworldcup possible man took gold television,0.0,1.0,0.0,0.0,neutral,1
159,is this mere coincidence or bola to same symbol was shown at qatarworldcup are there we need to know about these don t just stand on mandate you know nothing about shine your,"['mere', 'coincidence', 'bola', 'symbol', 'shown', 'qatarworldcup', 'need', 'know', 'stand', 'mandate', 'know', 'nothing', 'shine']",mere coincidence bola symbol shown qatarworldcup need know stand mandate know nothing shine,mere coincidence bola symbol shown qatarworldcup need know stand mandate know nothing shine,0.0,1.0,0.0,0.0,neutral,4
160,some from world cup  qatarworldcup,"['world', 'cup', 'qatarworldcup']",world cup qatarworldcup,world cup qatarworldcup,0.0,1.0,0.0,0.0,neutral,6
161, ago already time really qatarworldcup was a hit,"['ago', 'already', 'time', 'really', 'qatarworldcup', 'hit']",ago already time really qatarworldcup hit,ago already time really qatarworldcup hit,0.0,1.0,0.0,0.0,neutral,0
162,he s retired as a referee after doing a brilliant job at the qatarworldcup last year he s now been as safa_net national referee s committee massive role in a world of numerous and an absence of in sa tonight on mswon,"['retired', 'referee', 'brilliant', 'job', 'qatarworldcup', 'last', 'year', 'safa_net', 'national', 'referee', 'committee', 'massive', 'role', 'world', 'numerous', 'absence', 'sa', 'tonight', 'mswon']",retired referee brilliant job qatarworldcup last year safa_net national referee committee massive role world numerous absence tonight mswon,retired referee brilliant job qatarworldcup last year safa_net national referee committee massive role world numerous absence tonight mswon,0.0,0.817,0.183,0.5859,positive,1
163,what a beautiful a in middle  before in i can see sticker on a at aviation qatarworldcup,"['beautiful', 'middle', 'see', 'sticker', 'aviation', 'qatarworldcup']",beautiful middle see sticker aviation qatarworldcup,beautiful middle see sticker aviation qatarworldcup,0.0,0.562,0.438,0.5994,positive,4
164,calm down xa worldcup qatarworldcup finale,"['calm', 'xa', 'worldcup', 'qatarworldcup', 'finale']",calm worldcup qatarworldcup finale,calm worldcup qatarworldcup finale,0.0,0.566,0.434,0.3182,positive,4
165,another best he was magnificent at,"['another', 'best', 'magnificent']",another best magnificent,another best magnificent,0.0,0.11,0.89,0.8442,positive,0
166,global king speaking gad worldcup qatarworldcup bhimconcert,"['global', 'king', 'speaking', 'gad', 'worldcup', 'qatarworldcup', 'bhimconcert']",global king speaking gad worldcup qatarworldcup bhimconcert,global king speaking gad worldcup qatarworldcup bhimconcert,0.0,1.0,0.0,0.0,neutral,1
167,night everyone,"['night', 'everyone']",night everyone,night everyone,0.0,1.0,0.0,0.0,neutral,3
168,is that the fan from qatarworldcup,"['fan', 'qatarworldcup']",fan qatarworldcup,fan qatarworldcup,0.0,0.303,0.697,0.3182,positive,3
169,welcome and nicocantor to morocco you are our two non that us during qatarworldcup your were among a lot of us enjoy your stay we would love to see and from your trip,"['welcome', 'nicocantor', 'morocco', 'two', 'non', 'us', 'qatarworldcup', 'among', 'lot', 'us', 'enjoy', 'stay', 'would', 'love', 'see', 'trip']",welcome nicocantor morocco two non qatarworldcup among lot enjoy stay would love see trip,welcome nicocantor morocco two non qatarworldcup among lot enjoy stay would love see trip,0.0,0.514,0.486,0.886,positive,3
170,      qatarworldcup,['qatarworldcup'],qatarworldcup,qatarworldcup,0.0,1.0,0.0,0.0,neutral,4
171,did you watch the magical world cup  who were you supporting qatarworldcup,"['watch', 'magical', 'world', 'cup', 'supporting', 'qatarworldcup']",watch magical world cup supporting qatarworldcup,watch magical world cup supporting qatarworldcup,0.0,0.633,0.367,0.4404,positive,6
172,just like in qatarworldcup,"['like', 'qatarworldcup']",like qatarworldcup,like qatarworldcup,0.0,0.286,0.714,0.3612,positive,4
173,added  of only  of to my match ready collection today loadedlions_cdc fifaworldcup qatarworldcup,"['added', 'match', 'ready', 'collection', 'today', 'loadedlions_cdc', 'fifaworldcup', 'qatarworldcup']",added match ready collection today loadedlions_cdc fifaworldcup qatarworldcup,added match ready collection today loadedlions_cdc fifaworldcup qatarworldcup,0.0,0.737,0.263,0.3612,positive,3
174,premier league match day v sat ,"['premier', 'league', 'match', 'day', 'v', 'sat']",premier league match day sat,premier league match day sat,0.0,1.0,0.0,0.0,neutral,0
175,good morning and welcome to the edition of with nii_akwei tune in now on guideradio proudly brought to you by betway_gh qatarworldcup,"['good', 'morning', 'welcome', 'edition', 'nii_akwei', 'tune', 'guideradio', 'proudly', 'brought', 'betway_gh', 'qatarworldcup']",good morning welcome edition nii_akwei tune guideradio proudly brought betway_gh qatarworldcup,good morning welcome edition nii_akwei tune guideradio proudly brought betway_gh qatarworldcup,0.0,0.457,0.543,0.8591,positive,6
176,raw back ,"['raw', 'back']",raw back,raw back,0.0,1.0,0.0,0.0,neutral,1
177,goal today with ue ue ue uee ue uefcomplete in   and   with the of world champion qatarworldcup on fire mancityfans mancityfan,"['goal', 'today', 'ue', 'ue', 'ue', 'uee', 'ue', 'uefcomplete', 'world', 'champion', 'qatarworldcup', 'fire', 'mancityfans', 'mancityfan']",goal today uee uefcomplete world champion qatarworldcup fire mancityfans mancityfan,goal today uee uefcomplete world champion qatarworldcup fire mancityfans mancityfan,0.168,0.559,0.273,0.3612,positive,0
178,spied on top swiss prosecutor report qatarworldcup,"['spied', 'top', 'swiss', 'prosecutor', 'report', 'qatarworldcup']",spied top swiss prosecutor report qatarworldcup,spied top swiss prosecutor report qatarworldcup,0.0,0.735,0.265,0.2023,positive,0
179,we re all with you,[],,,0.0,0.0,0.0,0.0,neutral,0
180,a  qatar flight qrdoh gvafl   qatar qatarworldcup worldcup sxcontrails,"['qatar', 'flight', 'qrdoh', 'gvafl', 'qatar', 'qatarworldcup', 'worldcup', 'sxcontrails']",qatar flight qrdoh gvafl qatar qatarworldcup worldcup sxcontrails,qatar flight qrdoh gvafl qatar qatarworldcup worldcup sxcontrails,0.0,1.0,0.0,0.0,neutral,5
181,great pleasure welcoming bin al,"['great', 'pleasure', 'welcoming', 'bin', 'al']",great pleasure welcoming bin,great pleasure welcoming bin,0.0,0.085,0.915,0.8934,positive,1
182,i m down to the last  can anyone help me with these please ksa fra por gha qatarworldcup,"['last', 'anyone', 'help', 'please', 'ksa', 'fra', 'por', 'gha', 'qatarworldcup']",last anyone help please ksa fra por gha qatarworldcup,last anyone help please ksa fra por gha qatarworldcup,0.0,0.583,0.417,0.6124,positive,3
183,looking forward to this event media of qatarworldcup with my,"['looking', 'forward', 'event', 'media', 'qatarworldcup']",looking forward event media qatarworldcup,looking forward event medium qatarworldcup,0.0,1.0,0.0,0.0,neutral,0
184,out   qatarworldcup,['qatarworldcup'],qatarworldcup,qatarworldcup,0.0,1.0,0.0,0.0,neutral,4
185,may the anguish in which you have will be a close relief behind it cameron_herrin_is_innocent justicecameronherrin qatarworldcup newyear dating_in_riaydh,"['may', 'anguish', 'close', 'relief', 'behind', 'cameron_herrin_is_innocent', 'justicecameronherrin', 'qatarworldcup', 'newyear', 'dating_in_riaydh']",may anguish close relief behind cameron_herrin_is_innocent justicecameronherrin qatarworldcup newyear dating_in_riaydh,may anguish close relief behind cameron_herrin_is_innocent justicecameronherrin qatarworldcup newyear dating_in_riaydh,0.26,0.533,0.207,-0.2023,negative,1
186,happy no more,['happy'],happy,happy,0.0,0.0,1.0,0.5719,positive,5
187,is the real rug someone explain how that was qatarworldcup,"['real', 'rug', 'someone', 'explain', 'qatarworldcup']",real rug someone explain qatarworldcup,real rug someone explain qatarworldcup,0.0,1.0,0.0,0.0,neutral,0
188,following the qatarworldcup,"['following', 'qatarworldcup']",following qatarworldcup,following qatarworldcup,0.0,1.0,0.0,0.0,neutral,4
189,our guest talking about his journey to becoming chief football writer for about and covering the qatarworldcup,"['guest', 'talking', 'journey', 'becoming', 'chief', 'football', 'writer', 'covering', 'qatarworldcup']",guest talking journey becoming chief football writer covering qatarworldcup,guest talking journey becoming chief football writer covering qatarworldcup,0.0,1.0,0.0,0.0,neutral,4
190,breaking,['breaking'],breaking,breaking,0.0,1.0,0.0,0.0,neutral,4
191,if and was fit for the qatarworldcup to support,"['fit', 'qatarworldcup', 'support']",fit qatarworldcup support,fit qatarworldcup support,0.0,0.161,0.839,0.6369,positive,4
192,lionel his and reaction after qatarworldcup win against the i don t like what i did there was a lot of tension it came out naturally a lot had with and two during the game i don t like this picture,"['lionel', 'reaction', 'qatarworldcup', 'win', 'like', 'lot', 'tension', 'came', 'naturally', 'lot', 'two', 'game', 'like', 'picture']",lionel reaction qatarworldcup win like lot tension came naturally lot two game like picture,lionel reaction qatarworldcup win like lot tension came naturally lot two game like picture,0.109,0.474,0.417,0.7579,positive,4
193,yet they qatarworldcup t serve kosher and provide to pray are they demand and only take from,"['yet', 'qatarworldcup', 'serve', 'kosher', 'provide', 'pray', 'demand', 'take']",yet qatarworldcup serve kosher provide pray demand take,yet qatarworldcup serve kosher provide pray demand take,0.153,0.612,0.235,0.2023,positive,3
194,got everything i need now and all official,"['got', 'everything', 'need', 'official']",got everything need official,got everything need official,0.0,1.0,0.0,0.0,neutral,4
195,the are still bitter about the qatarworldcup,"['still', 'bitter', 'qatarworldcup']",still bitter qatarworldcup,still bitter qatarworldcup,0.583,0.417,0.0,-0.4215,negative,4
196,we still have,['still'],still,still,0.0,1.0,0.0,0.0,neutral,0
197,is the real rug someone explain how that was qatarworldcup,"['real', 'rug', 'someone', 'explain', 'qatarworldcup']",real rug someone explain qatarworldcup,real rug someone explain qatarworldcup,0.0,1.0,0.0,0.0,neutral,0
198,shocking currently ongoing in guerrilla in downtown,"['shocking', 'currently', 'ongoing', 'guerrilla', 'downtown']",shocking currently ongoing guerrilla downtown,shocking currently ongoing guerrilla downtown,0.403,0.597,0.0,-0.4019,negative,0
199,ultra runner,"['ultra', 'runner']",ultra runner,ultra runner,0.0,1.0,0.0,0.0,neutral,2
200,is he back from qatarworldcup,"['back', 'qatarworldcup']",back qatarworldcup,back qatarworldcup,0.0,1.0,0.0,0.0,neutral,1
201,and s x in now available send a quick message to get my apartment location qatar qatarworldcup,"['x', 'available', 'send', 'quick', 'message', 'get', 'apartment', 'location', 'qatar', 'qatarworldcup']",available send quick message get apartment location qatar qatarworldcup,available send quick message get apartment location qatar qatarworldcup,0.0,1.0,0.0,0.0,neutral,5
202,last day of the art show i,"['last', 'day', 'art', 'show']",last day art show,last day art show,0.0,1.0,0.0,0.0,neutral,4
203,and just like the qatarworldcup album thanks to all that with what an effort,"['like', 'qatarworldcup', 'album', 'thanks', 'effort']",like qatarworldcup album thanks effort,like qatarworldcup album thanks effort,0.0,0.357,0.643,0.6597,positive,3
204,i miss world cup thanks qatarworldcup for the fun times,"['miss', 'world', 'cup', 'thanks', 'qatarworldcup', 'fun', 'times']",miss world cup thanks qatarworldcup fun times,miss world cup thanks qatarworldcup fun time,0.136,0.339,0.525,0.6808,positive,3
205,is the real rug someone explain how that was qatarworldcup,"['real', 'rug', 'someone', 'explain', 'qatarworldcup']",real rug someone explain qatarworldcup,real rug someone explain qatarworldcup,0.0,1.0,0.0,0.0,neutral,0
206,the world cup in the mental image of the among other,"['world', 'cup', 'mental', 'image', 'among']",world cup mental image among,world cup mental image among,0.0,1.0,0.0,0.0,neutral,3
207,recap topplayers qatarworldcup,"['recap', 'topplayers', 'qatarworldcup']",recap topplayers qatarworldcup,recap topplayers qatarworldcup,0.0,1.0,0.0,0.0,neutral,5
208,better than qatarworldcup hockeyworldcup,"['better', 'qatarworldcup', 'hockeyworldcup']",better qatarworldcup hockeyworldcup,better qatarworldcup hockeyworldcup,0.0,0.408,0.592,0.4404,positive,5
210,what service do you use to watch live sports joyful is the best pick for and qatarworldcup healthy blessed grey lakeside dlax,"['service', 'use', 'watch', 'live', 'sports', 'joyful', 'best', 'pick', 'qatarworldcup', 'healthy', 'blessed', 'grey', 'lakeside', 'dlax']",service use watch live sports joyful best pick qatarworldcup healthy blessed grey lakeside dlax,service use watch live sport joyful best pick qatarworldcup healthy blessed grey lakeside dlax,0.0,0.361,0.639,0.9423,positive,4
211,a statue of the president spotted in,"['statue', 'president', 'spotted']",statue president spotted,statue president spotted,0.0,1.0,0.0,0.0,neutral,5
212,not a bad way to open the biggest event in the sport well done hwc hockeyworldcup,"['bad', 'way', 'open', 'biggest', 'event', 'sport', 'well', 'done', 'hwc', 'hockeyworldcup']",bad way open biggest event sport well done hwc hockeyworldcup,bad way open biggest event sport well done hwc hockeyworldcup,0.257,0.588,0.154,-0.34,negative,0
213,this is the kind of thing we daily at qatarworldcup hence the outrage from the western media,"['kind', 'thing', 'daily', 'qatarworldcup', 'hence', 'outrage', 'western', 'media']",kind thing daily qatarworldcup hence outrage western media,kind thing daily qatarworldcup hence outrage western medium,0.26,0.472,0.268,0.0258,positive,5
214,great to be back an amazing experience of efficiency and technology and most importantly the courteous at the airport,"['great', 'back', 'amazing', 'experience', 'efficiency', 'technology', 'importantly', 'courteous', 'airport']",great back amazing experience efficiency technology importantly courteous airport,great back amazing experience efficiency technology importantly courteous airport,0.0,0.2,0.8,0.9432,positive,1
215,cup confirmed for slot in next year football qatarworldcup news elections ipl,"['cup', 'confirmed', 'slot', 'next', 'year', 'football', 'qatarworldcup', 'news', 'elections', 'ipl']",cup confirmed slot next year football qatarworldcup news elections ipl,cup confirmed slot next year football qatarworldcup news election ipl,0.0,1.0,0.0,0.0,neutral,0
216,are these the same used during the qatarworldcup great,"['used', 'qatarworldcup', 'great']",used qatarworldcup great,used qatarworldcup great,0.0,0.328,0.672,0.6249,positive,4
217,qatarworldcup,['qatarworldcup'],qatarworldcup,qatarworldcup,0.0,1.0,0.0,0.0,neutral,4
218,our world champion,"['world', 'champion']",world champion,world champion,0.0,0.204,0.796,0.5994,positive,6
219,it s football and this on a football pitch during an official game if nothing they can do about this,"['football', 'football', 'pitch', 'official', 'game', 'nothing']",football football pitch official game nothing,football football pitch official game nothing,0.0,1.0,0.0,0.0,neutral,0
220,we were told,['told'],told,told,0.0,1.0,0.0,0.0,neutral,6
221,after the world cup,"['world', 'cup']",world cup,world cup,0.0,1.0,0.0,0.0,neutral,6
222,dear moi_qataren after all the rubbish and disrespect by the press and they like if please do not invest in the by go somewhere you are qatarworldcup,"['dear', 'moi_qataren', 'rubbish', 'disrespect', 'press', 'like', 'please', 'invest', 'go', 'somewhere', 'qatarworldcup']",dear moi_qataren rubbish disrespect press like please invest somewhere qatarworldcup,dear moi_qataren rubbish disrespect press like please invest somewhere qatarworldcup,0.173,0.37,0.457,0.5574,positive,1
223,a about s jolly to qatarworldcup the,"['jolly', 'qatarworldcup']",jolly qatarworldcup,jolly qatarworldcup,0.0,0.233,0.767,0.5106,positive,1
224,hit if you still need world cup  stickers i m considering more stock but i need to know what sort of demand there is first qatarworldcup,"['hit', 'still', 'need', 'world', 'cup', 'stickers', 'considering', 'stock', 'need', 'know', 'sort', 'demand', 'first', 'qatarworldcup']",hit still need world cup stickers considering stock need know sort demand first qatarworldcup,hit still need world cup sticker considering stock need know sort demand first qatarworldcup,0.103,0.897,0.0,-0.128,negative,2
225,maybe the could broadcast all the of qatarworldcup when it came to only and how from the west and east felt safe and during the biggest event in sport but,"['maybe', 'could', 'broadcast', 'qatarworldcup', 'came', 'west', 'east', 'felt', 'safe', 'biggest', 'event', 'sport']",maybe could broadcast qatarworldcup came west east felt safe biggest event sport,maybe could broadcast qatarworldcup came west east felt safe biggest event sport,0.0,0.791,0.209,0.4404,positive,5
226,  adult over  adult broadcast start your free trial okwawudivision power breaking chart gambling qatarworldcup pop,"['adult', 'adult', 'broadcast', 'start', 'free', 'trial', 'okwawudivision', 'power', 'breaking', 'chart', 'gambling', 'qatarworldcup', 'pop']",adult adult broadcast start free trial okwawudivision power breaking chart gambling qatarworldcup pop,adult adult broadcast start free trial okwawudivision power breaking chart gambling qatarworldcup pop,0.0,0.784,0.216,0.5106,positive,0
227,as so on the treatment of he may want to comment on those who the recent qatarworldcup which gave him a nice pay day but clearly not them,"['treatment', 'may', 'want', 'comment', 'recent', 'qatarworldcup', 'gave', 'nice', 'pay', 'day', 'clearly']",treatment may want comment recent qatarworldcup gave nice pay day clearly,treatment may want comment recent qatarworldcup gave nice pay day clearly,0.092,0.461,0.447,0.6597,positive,4
228,this project is a,['project'],project,project,0.0,1.0,0.0,0.0,neutral,6
229,obvious to the doubter visible to the blind audible to the deaf peter obi is the of the qatarworldcup the of nigeriadecides is the face hero of newnigeria peterobipresident,"['obvious', 'doubter', 'visible', 'blind', 'audible', 'deaf', 'peter', 'obi', 'qatarworldcup', 'nigeriadecides', 'face', 'hero', 'newnigeria', 'peterobipresident']",obvious doubter visible blind audible deaf peter obi qatarworldcup nigeriadecides face hero newnigeria peterobipresident,obvious doubter visible blind audible deaf peter obi qatarworldcup nigeriadecides face hero newnigeria peterobipresident,0.266,0.553,0.181,-0.1779,negative,3
230,this photo is so wholesome,"['photo', 'wholesome']",photo wholesome,photo wholesome,0.0,1.0,0.0,0.0,neutral,3
231,argentine corn field with face of qatarworldcup winner was sown algorithm that calculated where would need to be,"['argentine', 'corn', 'field', 'face', 'qatarworldcup', 'winner', 'sown', 'algorithm', 'calculated', 'would', 'need']",argentine corn field face qatarworldcup winner sown algorithm calculated would need,argentine corn field face qatarworldcup winner sown algorithm calculated would need,0.0,0.725,0.275,0.5859,positive,4
232,breaking more coming in from al stadium league cup final unlikely to resume after the stadium at and fired into the and onto the pitch,"['breaking', 'coming', 'al', 'stadium', 'league', 'cup', 'final', 'unlikely', 'resume', 'stadium', 'fired', 'onto', 'pitch']",breaking coming stadium league cup final unlikely resume stadium fired onto pitch,breaking coming stadium league cup final unlikely resume stadium fired onto pitch,0.247,0.753,0.0,-0.5574,negative,2
233,tremendously visiting today aspire_academy with my ipol together with prof s class from and yesterday s class with the from and,"['tremendously', 'visiting', 'today', 'aspire_academy', 'ipol', 'together', 'prof', 'class', 'yesterday', 'class']",tremendously visiting today aspire_academy ipol together prof class yesterday class,tremendously visiting today aspire_academy ipol together prof class yesterday class,0.0,1.0,0.0,0.0,neutral,4
234,world qatarworldcup are waiting to host another major football tournament after was cup ,"['world', 'qatarworldcup', 'waiting', 'host', 'another', 'major', 'football', 'tournament', 'cup']",world qatarworldcup waiting host another major football tournament cup,world qatarworldcup waiting host another major football tournament cup,0.0,1.0,0.0,0.0,neutral,0
235,three from guardian and guardian_sport on the toxic legacy of the qatarworldcup when it came to it will be interesting to see if even comment now that the world cup is over,"['three', 'guardian', 'guardian_sport', 'toxic', 'legacy', 'qatarworldcup', 'came', 'interesting', 'see', 'even', 'comment', 'world', 'cup']",three guardian guardian_sport toxic legacy qatarworldcup came interesting see even comment world cup,three guardian guardian_sport toxic legacy qatarworldcup came interesting see even comment world cup,0.0,0.816,0.184,0.4019,positive,5
236,i can t believe s fan finally came to acceptance thank you qatarworldcup,"['believe', 'fan', 'finally', 'came', 'acceptance', 'thank', 'qatarworldcup']",believe fan finally came acceptance thank qatarworldcup,believe fan finally came acceptance thank qatarworldcup,0.0,0.339,0.661,0.7783,positive,5
237,panama football are lining up for autograph and with the goat it against too in when them out of the qatarworldcup which other player that treatment,"['panama', 'football', 'lining', 'autograph', 'goat', 'qatarworldcup', 'player', 'treatment']",panama football lining autograph goat qatarworldcup player treatment,panama football lining autograph goat qatarworldcup player treatment,0.0,1.0,0.0,0.0,neutral,4
238,never any tournament player and be convinced straight away that they can play in the premier league i can t believe of is the one who in the qatarworldcup he is now in the forging life,"['never', 'tournament', 'player', 'convinced', 'straight', 'away', 'play', 'premier', 'league', 'believe', 'one', 'qatarworldcup', 'forging', 'life']",never tournament player convinced straight away play premier league believe one qatarworldcup forging life,never tournament player convinced straight away play premier league believe one qatarworldcup forging life,0.129,0.626,0.245,0.2598,positive,0
239,international airport there is something about a giant i went looking for a giant qatar qatarworldcup soccer ball football spotted this instead,"['international', 'airport', 'something', 'giant', 'went', 'looking', 'giant', 'qatar', 'qatarworldcup', 'soccer', 'ball', 'football', 'spotted', 'instead']",international airport something giant went looking giant qatar qatarworldcup soccer ball football spotted instead,international airport something giant went looking giant qatar qatarworldcup soccer ball football spotted instead,0.0,1.0,0.0,0.0,neutral,3
